"","IsWinner","track_id","artist_id","track_name","year","artist_name","genres","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"1","Nominee","7vuVvDFhHH3h7QyLMagBoB","5v8jlSmAQfrkTjAlpUfWtu","Catch a Falling Star (with Mitchell Ayres and His Orchestra & The Ray Charles Singers)",1975,"Perry Como","adult standards",469369,0.911,0.695,149827,0.145,0,1,0.114,-17.7,1,118.166,4,0.535
"2","Nominee","7vuVvDFhHH3h7QyLMagBoB","0HS96tPggl2nwiz3gNWWI5","Catch a Falling Star (with Mitchell Ayres and His Orchestra & The Ray Charles Singers)",1975,"Mitchell Ayres & His Orchestra","man's orchestra",741,0.911,0.695,149827,0.145,0,1,0.114,-17.7,1,118.166,4,0.535
"3","Nominee","7vuVvDFhHH3h7QyLMagBoB","2FbG2PIAVFvzszwgz2QuOL","Catch a Falling Star (with Mitchell Ayres and His Orchestra & The Ray Charles Singers)",1975,"The Ray Charles Singers","easy listening",1439,0.911,0.695,149827,0.145,0,1,0.114,-17.7,1,118.166,4,0.535
"4","Nominee","3BTsv0FthgmDwyKlYShwJF","1Mxqyy3pSjf8kZZL4QVxS0","Witchcraft",1996,"Frank Sinatra","adult standards",6304287,0.493,0.481,173240,0.242,0,0,0.137,-11.81,1,116.342,4,0.389
"5","Nominee","02NKMA9cIkq6VuBNu9q9Wf","1SCWcYnoEh1978ycTDhZoW","The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999",2010,"Alvin & The Chipmunks","children's music",189454,0.707,0.612,141467,0.37,2.98e-06,3,0.23,-11.548,1,152.548,3,0.777
"6","Nominee","02NKMA9cIkq6VuBNu9q9Wf","4NI5R1DbX27ODY5JTqnv2l","The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999",2010,"David Seville","novelty",2525,0.707,0.612,141467,0.37,2.98e-06,3,0.23,-11.548,1,152.548,3,0.777
"7","Winner","006Ndmw2hHxvnLbJsBFnPx","4llklDtTTyMYMY2LfFOkTI","Nel blu dipinto di blu",2008,"Domenico Modugno","classic italian pop",196132,0.987,0.518,216373,0.06,7.87e-06,10,0.161,-14.887,1,127.87,4,0.336
"8","Nominee","3aPlQWU07jGgyHaBHVS5TS","602DnpaSXJB4b9DZrvxbDc","Fever",1959,"Peggy Lee","adult standards",404167,0.23,0.838,199600,0.171,0,4,0.11,-12.614,0,135.925,4,0.397
"9","Nominee","201xEFgV3eBW8VWbaaBJWS","4seoDLqmOLUf59y72WJP7g","Gigi (with Percy Faith & His Orchestra)",1960,"Vic Damone","adult standards",81311,0.87,0.251,183240,0.326,1.17e-05,7,0.225,-11.787,0,81.451,4,0.196
"10","Nominee","201xEFgV3eBW8VWbaaBJWS","24DQLSng7bKZD4GXLIaQbv","Gigi (with Percy Faith & His Orchestra)",1960,"Percy Faith & His Orchestra","easy listening",56576,0.87,0.251,183240,0.326,1.17e-05,7,0.225,-11.787,0,81.451,4,0.196
"11","Nominee","24SbmQo3XQkNLpSBYda4DA","6GDSMFwAQBfnrrZf981Yji","The Three Bells",2010,"The Browns","nashville sound",5265,0.893,0.47,169573,0.159,0,7,0.124,-14.795,1,106.488,4,0.418
"12","Winner","3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","Mack the Knife",1959,"Bobby Darin","adult standards",505466,0.76,0.549,184333,0.529,0,3,0.206,-12.291,0,82.755,4,0.464
"13","Nominee","0Rwfhy5xdYqHvLGfkE9Lts","2tfWguHr2nj4e8KXLKciVq","Like Young",2017,"André Previn","orchestral performance",33491,0.145,0.506,192308,0.439,0,10,0.19,-9.324,1,62.9,4,0.55
"14","Nominee","6aKzxns1rGMjLSij4PuWhh","43ZHCT0cAZBISjO8DG9PnE","(Now and Then There's) A Fool Such as I",2022,"Elvis Presley","rock-and-roll",8271338,0.901,0.574,159360,0.714,1.7e-05,0,0.255,-6.344,1,63.623,4,0.722
"15","Winner","5DDgpkUGEjTJ3D1GunTaJs","0OpRT3685J2j8LWnoUqUoC","The Battle of New Orleans",2021,"Jimmie Driftwood","",1078,0.904,0.708,210240,0.563,0.000273,9,0.0746,-10.591,1,104.466,4,0.939
"16","Nominee","2DugUShG2wj81Zf51l29Je","21LGsW7bziR4Ledx7WZ1Wf","Small World",1959,"Johnny Mathis","adult standards",377719,0.658,0.248,200933,0.413,0,4,0.14,-9.095,1,113.593,3,0.313
"17","Nominee","2DugUShG2wj81Zf51l29Je","5IzlXnIwa5PWqv5Eh4vJnj","Small World",1959,"Glenn Osser","",51,0.658,0.248,200933,0.413,0,4,0.14,-9.095,1,113.593,3,0.313
"18","Winner","6zwvB879PJSpTyFcg2wwnL","24DQLSng7bKZD4GXLIaQbv","The Theme from ""A Summer Place""",1989,"Percy Faith & His Orchestra","easy listening",56576,0.591,0.326,142693,0.326,0.918,0,0.494,-15.144,1,186.232,3,0.87
"19","Nominee","7549epm7P9NV1zTMfKBI8m","5V0MlUE1Bft0mbLlND7FJz","Mack The Knife - Live At The Deutschlandhalle, Berlin, 1960",1960,"Ella Fitzgerald","adult standards",2291515,0.697,0.568,313707,0.628,0,8,0.488,-10.244,1,140.897,4,0.551
"20","Nominee","7549epm7P9NV1zTMfKBI8m","10hbAHHJmvhFi8UOcYoiC3","Mack The Knife - Live At The Deutschlandhalle, Berlin, 1960",1960,"The Paul Smith Quartet","",210,0.697,0.568,313707,0.628,0,8,0.488,-10.244,1,140.897,4,0.551
"21","Nominee","6yMGxqKj0218mFR5KqsMRq","1eYhYunlNJlDoQhtYBvPsi","Georgia on My Mind",2021,"Ray Charles","classic soul",2037047,0.626,0.19,219560,0.323,2.17e-06,7,0.176,-12.405,1,94.34,4,0.281
"22","Winner","7A7Bak9REa9pRZzohssUPi","41SzGMVZclC44YTVneXHlE","Theme of Exodus - From ""Exodus"" Soundtrack",2014,"Ernest Gold","classic soundtrack",2098,0.797,0.0846,892204,0.265,0.41,9,0.35,-13.867,0,68.219,4,0.0617
"23","Nominee","6zwvB879PJSpTyFcg2wwnL","24DQLSng7bKZD4GXLIaQbv","The Theme from ""A Summer Place""",1989,"Percy Faith & His Orchestra","easy listening",56576,0.591,0.326,142693,0.326,0.918,0,0.494,-15.144,1,186.232,3,0.87
"24","Nominee","7bglBi4qKMdivsFKdfDi3P","1Mxqyy3pSjf8kZZL4QVxS0","Nice 'n' Easy",1996,"Frank Sinatra","adult standards",6304287,0.62,0.531,165293,0.111,0,0,0.131,-17.905,1,109.253,4,0.47
"25","Nominee","7DH5dXVuQaqcKf9oTy9oUN","2Ev0e8GUIX4u7d9etNLTXg","He'll Have to Go",1997,"Jim Reeves","nashville sound",422605,0.909,0.554,138640,0.186,0.00144,1,0.11,-15.846,1,81.181,3,0.2
"26","Nominee","1qysQ9JXd8gUbs4oLO5oSd","4ktfAENbpoxfR7STEtKBM6","Up A Lazy River",1961,"Si Zentner","easy listening",2636,0.785,0.444,124867,0.685,0.0103,4,0.112,-5.671,0,157.789,4,0.892
