;Year;IsWinner;track_id
1;1958;Nominee;7vuVvDFhHH3h7QyLMagBoB
2;1958;Nominee;3BTsv0FthgmDwyKlYShwJF
3;1958;Nominee;02NKMA9cIkq6VuBNu9q9Wf
4;1958;Winner;006Ndmw2hHxvnLbJsBFnPx
5;1958;Nominee;3aPlQWU07jGgyHaBHVS5TS
6;1958;Nominee;201xEFgV3eBW8VWbaaBJWS
7;1959;Nominee;24SbmQo3XQkNLpSBYda4DA
8;1959;Winner;3E5ndyOfO6vFDEIE42HA8o
9;1959;Nominee;0Rwfhy5xdYqHvLGfkE9Lts
10;1959;Nominee;6aKzxns1rGMjLSij4PuWhh
11;1959;Winner;5DDgpkUGEjTJ3D1GunTaJs
12;1959;Nominee;2DugUShG2wj81Zf51l29Je
13;1960;Winner;6zwvB879PJSpTyFcg2wwnL
14;1960;Nominee;7549epm7P9NV1zTMfKBI8m
15;1960;Nominee;6yMGxqKj0218mFR5KqsMRq
16;1960;Winner;7A7Bak9REa9pRZzohssUPi
17;1960;Nominee;6zwvB879PJSpTyFcg2wwnL
18;1960;Nominee;7bglBi4qKMdivsFKdfDi3P
19;1960;Nominee;7DH5dXVuQaqcKf9oTy9oUN
20;1961;Nominee;1qysQ9JXd8gUbs4oLO5oSd
21;1961;Nominee;5p6me2mwQrGfH30eExHn6v
22;1961;Winner;5iGleL7HpEThuuYQ3us2jh
23;1961;Nominee;61uAY9xdzYiIbYJ07XvKso
24;1961;Nominee;67JIfYdnRNXSSP1uPRmE2j
25;1961;Nominee;3XhTHMleuyoQCP8jxOeIhD
26;1962;Nominee;2ChoPgCQ88DGEDFBwFgZlo
27;1962;Nominee;6bZlab0NrNteVppLu9C2Zy
28;1962;Winner;1bYItjcPRtxZs6Ir71O5RB
29;1962;Nominee;6N32znCabSSaMDB8d3jrS3
30;1962;Nominee;2tcfbkABIwzpepPyaFsYF4
31;1962;Winner;2ChoPgCQ88DGEDFBwFgZlo
33;1962;Nominee;1bYItjcPRtxZs6Ir71O5RB
34;1962;Nominee;6mXqStzmjKPA0enSUQCBOv
35;1963;Nominee;5kb8hqeLEXspWJZ0LrJPqE
36;1963;Nominee;4ns69146GVKS3AwM922kTE
37;1964;Winner;4qGfJb2KByjvzrwo8HNibg
38;1964;Nominee;4pbG9SUmWIvsROVLF0zF9s
39;1964;Nominee;63kd4m3VFxcJjPVVtbVNAu
40;1964;Nominee;0mVTT4eqN3TbcieL6ShnDH
41;1964;Nominee;5VY8vqBEzpk2aWLB17inwk
42;1964;Winner;63kd4m3VFxcJjPVVtbVNAu
43;1964;Nominee;2Xu8Mxy1getoKERbRjHQ4Z
44;1965;Nominee;3l2pObHGPzGmgRWDlAbUJN
45;1965;Nominee;3XG7bMVcMWLIn2k9jLAaAt
46;1965;Winner;2XmLd81D7jT8Ell9lmvApe
47;1965;Nominee;1sOVXr1KuMtg3ZqXkpTHLl
48;1966;Nominee;3Q51jQuzjEDMTyFX4pT2dK
49;1966;Nominee;1AzrEisAhzYF1AQfzLhgkO
50;1966;Winner;74VR3AkGPhbYXnxcOYa16x
51;1966;Nominee;3EFb1qDgIqf9MegIryKtDj
52;1966;Nominee;2Krnm3qWdy4VG5vTkT0cDn
53;1966;Nominee;217RsQ8R5s4KgtGA7Sbgor
54;1966;Nominee;1IYn7ytdb8byvHKS7S3Cat
55;1966;Winner;5By7Pzgl6TMuVJG168VWzS
56;1966;Nominee;2vDLWF0RVb7h8OlF2i8F94
57;1967;Winner;3JdToGxgvH9SnO1a605Ztr
58;1967;Nominee;4feXcsElKIVsGwkbnTHAfV
59;1967;Nominee;4FdDorlbJTVHcH3djLbIfn
60;1967;Nominee;40BvPdq2rwYIoioUgjKHoK
61;1967;Nominee;1tZKsxgKebVQX9s6oiojG9
62;1967;Nominee;6ppsYmPvK5Wp1QBdJyTc7s
63;1968;Winner;0iOZM63lendWRTTeKhZBSC
64;1968;Nominee;2Qhvi6R73Zj3cpzRYzcAww
65;1968;Nominee;2sZIclzhHlH8tzf7wry9hK
66;1968;Nominee;0iOZM63lendWRTTeKhZBSC
67;1968;Winner;30jEnUWPJIt6zh25s2Kbh0
68;1969;Nominee;0spSRHFS4zF4Imvz9sJcfL
69;1969;Nominee;5xMNjx7uqCzMpJZSo4Wq55
70;1969;Nominee;1oOnOS4xNZOMpCT0lKTNo2
71;1969;Nominee;1MHgV79MSYE6ymNlGa3bRY
72;1969;Winner;50t8gshcAtXiUdk7nHfYDp
73;1970;Nominee;1oht5GevPN9t1T3kG1m1GO
74;1970;Nominee;3rrrMhc76FDnS4N7wu2KfH
75;1970;Nominee;50q2aUjWoTn6CJIfSPRJQA
76;1971;Nominee;7KMILVTQdVS4zQ8ilTcpRO
77;1971;Nominee;6vE90mi4yKsQGY3YD2OOv1
78;1971;Nominee;2ymeOsYijJz09LfKw3yM2x
