"","names","IsWinner","Year","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"1","Layla - Acoustic Live - Eric Clapton",1,1992,5388584,0.318,0.559,289027,0.524,0.00094,"2",0.933,-11.64,"0",93.85,"4",0.652
"2","Human Touch - Bruce Springsteen",1,1992,5615666,0.00244,0.651,388800,0.516,5.93e-05,"0",0.0973,-13.628,"1",115.154,"4",0.453
"3","Smells Like Teen Spirit - Nirvana",1,1992,17674332,2.55e-05,0.502,301920,0.912,0.000173,"1",0.106,-4.556,"1",116.761,"4",0.72
"4","Digging In The Dirt - Peter Gabriel",1,1992,1534859,0.219,0.713,318013,0.729,0.00233,"1",0.141,-8.218,"1",80.934,"4",0.538
"5","Jeremy - Pearl Jam",1,1992,8234883,0.0404,0.285,318227,0.846,0,"2",0.182,-6.472,"1",108.808,"4",0.287
"6","I'd Do Anything For Love (But I Won't Do That) - Single Edit - Meat Loaf",1,1993,1034322,0.623,0.419,316467,0.672,0,"2",0.412,-6.353,"1",105.212,"4",0.304
"7","Runaway Train (2022 Remaster) - Soul Asylum",1,1993,570643,0.0132,0.613,265867,0.72,0,"0",0.104,-7.957,"1",117.341,"4",0.561
"8","Are You Gonna Go My Way - Lenny Kravitz",1,1993,2927212,0.00165,0.619,211933,0.67,0.0109,"11",0.331,-10.322,"0",129.269,"4",0.777
"9","Cryin' - Aerosmith",1,1993,13501836,8.31e-05,0.452,308560,0.813,0.0381,"9",0.274,-4.45,"1",105.757,"3",0.539
"10","Livin' On The Edge - Aerosmith",1,1993,13501836,0.000437,0.341,381400,0.862,0.563,"2",0.218,-4.256,"1",84.42,"4",0.29
"11","All Apologies - Nirvana",1,1994,17674332,0.0793,0.446,233173,0.632,0.000266,"1",0.0881,-12.197,"1",113.176,"4",0.359
"12","Black Hole Sun - Soundgarden",1,1994,4010341,0.000217,0.35,318587,0.828,0.000161,"6",0.0774,-5.373,"1",105.435,"4",0.147
"13","Streets of Philadelphia - Single Edit - Bruce Springsteen",1,1994,5615666,0.294,0.741,195080,0.29,0.118,"5",0.0924,-13.251,"1",93.699,"4",0.443
"14","Come To My Window - Melissa Etheridge",1,1994,432743,0.08,0.512,236000,0.636,0.000106,"7",0.088,-9.602,"1",97.257,"4",0.499
"15","I'm The Only One - Melissa Etheridge",1,1994,432743,0.0448,0.614,295000,0.476,0,"0",0.0608,-9.648,"1",84.938,"4",0.644
"16","Dignity - Bob Dylan",1,1995,6137375,0.212,0.567,356400,0.785,0.00105,"8",0.272,-9.994,"1",115.643,"4",0.81
"17","Come On Baby, Let's Go Downtown (Electric) [Remastered] - Live - Neil Young",1,1995,2756298,0.869,0.381,276480,0.388,0.0532,"11",0.118,-14.8,"0",168.027,"4",0.18
"18","Hurt - Nine Inch Nails",1,1995,2320669,0.773,0.49,375933,0.158,0.0227,"9",0.121,-18.148,"1",79.833,"4",0.0826
"19","You Oughta Know - 2015 Remaster - Alanis Morissette",1,1995,2535001,0.21,0.665,249493,0.834,0,"4",0.452,-7.737,"1",105.292,"4",0.411
"20","Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever' - U2",1,1995,11148674,7.47e-05,0.368,284600,0.852,0.258,"10",0.218,-6.978,"0",171.692,"4",0.347
"21","Too Much - Dave Matthews Band",1,1996,1879861,0.00856,0.579,261627,0.935,0.00434,"11",0.0769,-5.552,"0",114.753,"4",0.75
